tool_name,input_size,actual_memory_bytes,predicted_memory_bytes,total_allocated_bytes,method_name,wastage_mb,failed,exec_time_s,retry_penalty_time_s,num_retries,confidence,source
fastq-cleaner,406,1164,1168,1168,FAMR_1,4,false,119,0,0,0.9983847167938593,FAMR
fastq-cleaner,204,1149,1150,1150,FAMR_1,1,false,81,0,0,0.9985763998884368,FAMR
fastq-cleaner,6640,1171,0,0,FAMR_1,0,true,1602,0,0,0,no_prediction
fastq-cleaner,6640,1170,0,0,FAMR_1,0,true,1600,0,0,0,no_prediction
fastq-cleaner,6640,1170,0,0,FAMR_1,0,true,1598,0,0,0,no_prediction
fastq-cleaner,6640,1166,0,0,FAMR_1,0,true,1583,0,0,0,no_prediction
fastq-cleaner,6640,1172,0,0,FAMR_1,0,true,1580,0,0,0,no_prediction
fastq-cleaner,6640,1173,0,0,FAMR_1,0,true,1580,0,0,0,no_prediction
fastq-cleaner,6640,1170,0,0,FAMR_1,0,true,1579,0,0,0,no_prediction
fastq-cleaner,6640,1171,0,0,FAMR_1,0,true,1576,0,0,0,no_prediction
fastq-cleaner,6640,1172,0,0,FAMR_1,0,true,1572,0,0,0,no_prediction
fastq-cleaner,6640,1172,0,0,FAMR_1,0,true,1542,0,0,0,no_prediction
fastq-cleaner,5614,1171,1174,1174,FAMR_1,3,false,1548,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1169,1174,1174,FAMR_1,5,false,1564,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1169,1174,1174,FAMR_1,5,false,1583,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1167,1174,1174,FAMR_1,7,false,1532,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1170,1174,1174,FAMR_1,4,false,1566,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1173,1174,1174,FAMR_1,1,false,1543,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1170,1174,1174,FAMR_1,4,false,1564,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1169,1174,1174,FAMR_1,5,false,1538,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1171,1174,1174,FAMR_1,3,false,1551,0,0,0.9961117185160282,FAMR
fastq-cleaner,5614,1171,1174,1174,FAMR_1,3,false,1548,0,0,0.9961117185160282,FAMR
fastq-cleaner,5103,1173,1173,1173,FAMR_1,0,false,1269,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1164,1173,1173,FAMR_1,9,false,1290,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1169,1173,1173,FAMR_1,4,false,1312,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1168,1173,1173,FAMR_1,5,false,1289,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1165,1173,1173,FAMR_1,8,false,1289,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1169,1173,1173,FAMR_1,4,false,1263,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1167,1173,1173,FAMR_1,6,false,1282,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1170,1173,1173,FAMR_1,3,false,1258,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1169,1173,1173,FAMR_1,4,false,1281,0,0,0.9969090450644207,FAMR
fastq-cleaner,5103,1171,1173,1173,FAMR_1,2,false,1248,0,0,0.9969090450644207,FAMR
fastq-cleaner,4591,1168,1173,1173,FAMR_1,5,false,1319,0,0,0.9965799796019393,FAMR
